label,seed,n_obstacles,sphere_pct,env_length,min_target_vel,max_target_vel,randpos_std_min,randpos_std_max,n_envs,n_steps,n_episodes,n_success,n_collision,n_timeout,success_rate,collision_rate,timeout_rate,mean_arrive_time,mean_avg_vel,mean_episode_length_s
sim01_baseline,1,30,0.33,25,3.0,6.0,6,7,64,2000,185,130,2,53,0.7027,0.0108,0.2865,14.74,2.836,19.23
sim02_sparse,2,10,0.33,25,3.0,6.0,6,7,64,2000,195,165,1,29,0.8462,0.0051,0.1487,13.315,3.14,18.459
sim03_dense,3,60,0.33,25,3.0,6.0,6,7,64,2000,220,96,19,105,0.4364,0.0864,0.4773,17.068,2.512,16.101
sim04_spheres_heavy,4,30,0.7,25,3.0,6.0,6,7,64,2000,207,137,16,54,0.6618,0.0773,0.2609,14.834,2.858,17.274
sim05_cubes_heavy,5,30,0.1,25,3.0,6.0,6,7,64,2000,187,146,4,37,0.7807,0.0214,0.1979,15.131,2.817,19.379
sim06_short_dist,6,20,0.33,15,3.0,6.0,4,5,64,2000,272,148,13,111,0.5441,0.0478,0.4081,10.569,2.42,13.457
sim07_long_dist,7,50,0.33,35,3.0,6.0,8,9,64,2000,145,106,4,35,0.731,0.0276,0.2414,19.782,2.998,23.426
sim08_slow_targets,8,30,0.33,25,1.5,3.0,6,7,64,2000,156,75,4,77,0.4808,0.0256,0.4936,22.002,1.907,22.393
sim09_fast_targets,9,30,0.33,25,5.0,8.0,6,7,64,2000,222,144,17,61,0.6486,0.0766,0.2748,12.176,3.364,16.009
sim10_clustered,10,40,0.5,25,3.0,6.0,4,5,64,2000,238,104,16,118,0.437,0.0672,0.4958,16.566,2.562,15.144
sim11_baseline_reseed,21,30,0.33,25,3.0,6.0,6,7,64,2000,203,145,9,49,0.7143,0.0443,0.2414,14.615,2.832,17.909
sim12_very_dense,22,80,0.33,25,3.0,6.0,6,7,64,2000,272,79,38,155,0.2904,0.1397,0.5699,17.306,2.472,13.385
sim13_very_sparse,23,5,0.33,25,3.0,6.0,6,7,64,2000,187,164,0,23,0.877,0.0,0.123,13.289,3.238,19.041
sim14_pure_spheres,24,30,0.95,25,3.0,6.0,6,7,64,2000,207,152,11,44,0.7343,0.0531,0.2126,14.462,2.902,17.565
sim15_pure_cubes,25,30,0.0,25,3.0,6.0,6,7,64,2000,183,142,7,34,0.776,0.0383,0.1858,15.253,2.841,19.286
sim16_wide_arena,26,70,0.33,40,3.0,6.0,10,11,64,2000,138,96,4,38,0.6957,0.029,0.2754,21.71,3.105,25.017
sim17_tight_arena,27,12,0.33,10,3.0,5.0,3,4,64,2000,331,150,13,168,0.4532,0.0393,0.5076,7.8,2.102,11.124
sim18_ultra_fast,28,30,0.33,25,7.0,10.0,6,7,64,2000,291,149,81,61,0.512,0.2784,0.2096,11.344,3.731,12.604
sim19_ultra_slow,29,30,0.33,25,0.5,1.5,6,7,64,2000,166,0,5,161,0.0,0.0301,0.9699,,,21.163
sim20_tight_cluster,30,50,0.5,25,3.0,6.0,3,4,64,2000,258,77,28,153,0.2984,0.1085,0.593,17.953,2.409,14.142
