label,seed,n_obstacles,sphere_pct,env_length,min_target_vel,max_target_vel,randpos_std_min,randpos_std_max,n_envs,n_steps,n_episodes,n_success,n_collision,n_timeout,success_rate,collision_rate,timeout_rate,mean_arrive_time,mean_avg_vel,mean_episode_length_s
sim01_baseline,1,30,0.33,25,3.0,6.0,6,7,64,2000,198,148,4,46,0.7475,0.0202,0.2323,14.91,2.834,18.119
sim02_sparse,2,10,0.33,25,3.0,6.0,6,7,64,2000,197,184,1,12,0.934,0.0051,0.0609,13.196,3.194,18.127
sim03_dense,3,60,0.33,25,3.0,6.0,6,7,64,2000,213,100,18,95,0.4695,0.0845,0.446,17.492,2.444,16.873
sim04_spheres_heavy,4,30,0.7,25,3.0,6.0,6,7,64,2000,226,164,7,55,0.7257,0.031,0.2434,14.219,2.952,16.122
sim05_cubes_heavy,5,30,0.1,25,3.0,6.0,6,7,64,2000,200,151,9,40,0.755,0.045,0.2,14.716,2.867,17.931
sim06_short_dist,6,20,0.33,15,3.0,6.0,4,5,64,2000,292,188,16,88,0.6438,0.0548,0.3014,10.13,2.459,12.679
sim07_long_dist,7,50,0.33,35,3.0,6.0,8,9,64,2000,156,114,3,39,0.7308,0.0192,0.25,19.678,3.033,22.11
sim08_slow_targets,8,30,0.33,25,1.5,3.0,6,7,64,2000,145,75,4,66,0.5172,0.0276,0.4552,23.403,1.766,24.691
sim09_fast_targets,9,30,0.33,25,5.0,8.0,6,7,64,2000,245,170,15,60,0.6939,0.0612,0.2449,12.139,3.41,15.032
sim10_clustered,10,40,0.5,25,3.0,6.0,4,5,64,2000,220,125,6,89,0.5682,0.0273,0.4045,15.937,2.633,15.851
sim11_baseline_reseed,21,30,0.33,25,3.0,6.0,6,7,64,2000,199,155,5,39,0.7789,0.0251,0.196,14.751,2.871,18.411
sim12_very_dense,22,80,0.33,25,3.0,6.0,6,7,64,2000,265,79,29,157,0.2981,0.1094,0.5925,17.391,2.391,13.669
sim13_very_sparse,23,5,0.33,25,3.0,6.0,6,7,64,2000,203,190,2,11,0.936,0.0099,0.0542,13.158,3.268,18.006
sim14_pure_spheres,24,30,0.95,25,3.0,6.0,6,7,64,2000,220,172,4,44,0.7818,0.0182,0.2,14.053,2.98,16.713
sim15_pure_cubes,25,30,0.0,25,3.0,6.0,6,7,64,2000,191,142,7,42,0.7435,0.0366,0.2199,14.885,2.867,18.688
sim16_wide_arena,26,70,0.33,40,3.0,6.0,10,11,64,2000,144,103,3,38,0.7153,0.0208,0.2639,21.503,3.171,23.49
sim17_tight_arena,27,12,0.33,10,3.0,5.0,3,4,64,2000,372,243,12,117,0.6532,0.0323,0.3145,7.369,2.238,10.298
sim18_ultra_fast,28,30,0.33,25,7.0,10.0,6,7,64,2000,308,169,58,81,0.5487,0.1883,0.263,11.018,3.816,12.126
sim19_ultra_slow,29,30,0.33,25,0.5,1.5,6,7,64,2000,151,1,5,145,0.0066,0.0331,0.9603,29.271,1.174,24.453
sim20_tight_cluster,30,50,0.5,25,3.0,6.0,3,4,64,2000,253,101,22,130,0.3992,0.087,0.5138,16.841,2.512,13.965
