label,seed,n_obstacles,sphere_pct,env_length,min_target_vel,max_target_vel,randpos_std_min,randpos_std_max,n_envs,n_steps,n_episodes,n_success,n_collision,n_timeout,success_rate,collision_rate,timeout_rate,mean_arrive_time,mean_avg_vel,mean_episode_length_s
sim01_baseline,1,30,0.33,25,3.0,6.0,6,7,64,2000,193,146,6,41,0.7565,0.0311,0.2124,14.75,2.834,18.212
sim02_sparse,2,10,0.33,25,3.0,6.0,6,7,64,2000,202,185,1,16,0.9158,0.005,0.0792,12.953,3.202,17.755
sim03_dense,3,60,0.33,25,3.0,6.0,6,7,64,2000,208,100,16,92,0.4808,0.0769,0.4423,17.816,2.362,17.192
sim04_spheres_heavy,4,30,0.7,25,3.0,6.0,6,7,64,2000,219,151,7,61,0.6895,0.032,0.2785,14.611,2.901,16.442
sim05_cubes_heavy,5,30,0.1,25,3.0,6.0,6,7,64,2000,193,152,8,33,0.7876,0.0415,0.171,14.993,2.828,18.319
sim06_short_dist,6,20,0.33,15,3.0,6.0,4,5,64,2000,283,183,14,86,0.6466,0.0495,0.3039,10.507,2.38,12.957
sim07_long_dist,7,50,0.33,35,3.0,6.0,8,9,64,2000,151,121,3,27,0.8013,0.0199,0.1788,20.075,2.946,22.861
sim08_slow_targets,8,30,0.33,25,1.5,3.0,6,7,64,2000,147,94,4,49,0.6395,0.0272,0.3333,22.74,1.804,24.001
sim09_fast_targets,9,30,0.33,25,5.0,8.0,6,7,64,2000,246,171,22,53,0.6951,0.0894,0.2154,12.621,3.307,14.852
sim10_clustered,10,40,0.5,25,3.0,6.0,4,5,64,2000,219,121,15,83,0.5525,0.0685,0.379,16.492,2.588,16.531
sim11_baseline_reseed,21,30,0.33,25,3.0,6.0,6,7,64,2000,202,156,8,38,0.7723,0.0396,0.1881,14.937,2.842,17.916
sim12_very_dense,22,80,0.33,25,3.0,6.0,6,7,64,2000,235,87,23,125,0.3702,0.0979,0.5319,18.846,2.232,15.471
sim13_very_sparse,23,5,0.33,25,3.0,6.0,6,7,64,2000,197,181,1,15,0.9188,0.0051,0.0761,13.013,3.242,17.858
sim14_pure_spheres,24,30,0.95,25,3.0,6.0,6,7,64,2000,209,170,7,32,0.8134,0.0335,0.1531,14.572,2.92,17.736
sim15_pure_cubes,25,30,0.0,25,3.0,6.0,6,7,64,2000,181,151,4,26,0.8343,0.0221,0.1436,14.912,2.851,19.19
sim16_wide_arena,26,70,0.33,40,3.0,6.0,10,11,64,2000,143,100,7,36,0.6993,0.049,0.2517,21.322,3.127,24.24
sim17_tight_arena,27,12,0.33,10,3.0,5.0,3,4,64,2000,327,191,12,124,0.5841,0.0367,0.3792,7.735,2.196,11.169
sim18_ultra_fast,28,30,0.33,25,7.0,10.0,6,7,64,2000,315,181,65,69,0.5746,0.2063,0.219,11.329,3.816,12.05
sim19_ultra_slow,29,30,0.33,25,0.5,1.5,6,7,64,2000,168,2,3,163,0.0119,0.0179,0.9702,27.206,1.326,20.566
sim20_tight_cluster,30,50,0.5,25,3.0,6.0,3,4,64,2000,239,88,34,117,0.3682,0.1423,0.4895,18.144,2.388,14.942
